ABET	VBOO; 
able	 kundig; bekwame;  kundige;  knap;  bekwaam; 
about	 byna; om;  omstreeks;  ongeveer;  oor;  omtrent; 
above	bo;  hierbo;  bokant; 
above-mentioned	 bogemelde;  voormelde;  bovermelde;  voornoemde; bogenoemde; 
abroad	oorsee; 
absence	 absensie; afwesigheid;  absens;  ontstentenis;  verstrooidheid; 
absent	 afwesige;  absent; afwesig;  verstrooid;  afwesig wees; 
absolute	absoluut;  absolute; 
abuse	 belediging;  misbruik;  beledig;  mishandel; mishandeling; 
abused	 misbruikte; mishandelde;  beledigde; 
academia	akademikusse; akademici; 
academic	 akademikus; akademies; 
academics	 akademikusse; akademici; 
academies	akademies; 
academy	akademie; 
accelerate	bespoedig;  vinniger ry;  versnelde;  versnel; 
accelerated	 bespoedigde;  het vinniger gery;  is vinniger gery; versnelde; 
accelerating	bespoedig;  om vinniger te ry;  vinniger ry;  is besig om te bespoedig;  versnel; 
acceleration	bespoediging;  versnelling; 
accept	aanvaar;  aksepteer;  aanneem; 
acceptable	aanvaarbaar;  aanneemlik; 
acceptance	 aksep;  akseptasie; aanvaarding;  aanname; 
accepted	 geaksepteerde;  aangenome; aanvaarde; 
accepting	word geaksepteer;  word aanvaar; 
access	 toegang verkry;  insae; toegang; 
accessed	het insae verkry;  verkreë toegang; 
accessibility	 bereikbaarheid; toeganklikheid; 
accessible	toeganklik;  bereikbaar; 
accession	 aanwin;  aanwins; toetrede; 
accident	 toevalligheid;  toevallige kenmerk; ongeluk; 
accidents	 toevallige kenmerke; ongelukke;  toevallighede; 
acclaim	 loof;  uitroep;  goedkeur;  toejuig; prys;  vereer;  begroet; 
acclaimed	 vereerde;  toegejuigde;  geloofde; goedgekeur;  goedgekeurde; 
accommodate	 akkommodeer; bevat; 
accommodated	geakkommodeerde; 
accommodation	voorsiening;  huisvesting;  akkommodasie; 
accompanied	 begeleide; gepaardgaande met;  vergeselde; 
accompany	 gepaardgaan met; vergesel;  begelei; 
accomplish	tot stand bring; 
accomplished	 het tot stand gebring; is tot stand gebring; 
accord	 vanself; ooreenkoms;  ooreenstem;  harmonie;  eenparig;  akkordeer;  uit eie houtjie;  skikking;  ooreenkom;  eensgesindheid;  ooreenstemming;  strook; 
accordance	ooreenstemming; 
accorded	 vergun; verleen;  toestaan; 
according	ooreenkomstig; 
accordingly	ooreenkomstig; 
account	 klant;  afrekening;  rekenskap;  verreken; rekening; 
accountability	 verantwoordingspligtigheid;  verantwoordingsplig;  toerekenbaarheid; aanspreeklikheid; 
accountable	verantwoordingspligtig;  toerekenbaar; 
accountant	 boekhouer; rekenmeester; 
accountants	rekenmeesters;  boekhouers; 
accounted	verantwoorde; 
accounting	 verrekening;  boekhouding;  rekeningkundig; rekeningkunde; 
accounts	 rekenskap;  afrekeninge;  verreken;  klante; rekeninge;  kliënte; 
accredit	akkrediteer; 
accreditation	akkreditering;  akkreditasie; 
accredited	geakkrediteerde; 
accrual	aanwas; 
accruals	aanwassings; 
accrue	oploop;  aangroei; 
accrued	 aangegroeide; opgeloopte; 
accumulate	 ophoop;  akkumuleer; oploop;  opgaar; 
accumulated	 opgegaarde; opgeloopte;  geakkumuleerde; opgehoopte; 
accuracy	 noukeurigheid; akkuraatheid; 
accurate	 noukeurig; akkuraat; 
accused	 aangeklaagde; beskuldigde; 
achieve	 presteer; bereik;  behaal; 
achieved	bereikte;  het behaal;  is behaal;  het presteer; 
achievement	prestasie; 
achievements	prestasies; 
achieving	 behaalde; presteer;  word bereik; 
acknowledge	erken; 
acknowledged	erkende; 
acknowledges	erken; 
acquire	verkry;  aanwin;  verwerf;  aanleer;  aanskaf; 
acquired	 aangeleer;  verkreë; verworwe; 
acquisition	verkryging;  aanskaffing; 
across	dwarsoor; 
act	wet;  bedryf;  handel;  optree;  inwerk;  toneelspeel;  toneel speel;  handeling; 
